Principio Attivo	Descrizione Gruppo Equivalenza	Denominazione e Confezione	Prezzo al pubblico �	Titolare AIC	"Codice 
AIC"	Codice Gruppo Equivalenza	X=in lista di trasparenza Aifa 15/12/2020	Solo in lista di Regione:	Metri cubi ossigeno 
Propafenone	PROPAFENONE 150MG 30 UNITA' USO ORALE	RYTMONORM*30 cpr riv 150 mg	5,28	TEVA ITALIA Srl	24862017	ABA	X		
Propafenone	PROPAFENONE 300MG 30 UNITA' USO ORALE	PROPAFENONE*30 cpr riv 300 mg	6,46	ACCORD HEALTHCARE SLU	44771071	ABB	X		
Propafenone	PROPAFENONE 300MG 30 UNITA' USO ORALE	PROPAFENONE*30 cpr riv 300 mg	6,46	DOC GENERICI Srl	34079020	ABB	X		
Propafenone	PROPAFENONE 300MG 30 UNITA' USO ORALE	PROPAFENONE*30 cpr riv 300 mg	6,46	EG SpA	33804028	ABB	X		
Propafenone	PROPAFENONE 300MG 30 UNITA' USO ORALE	PROPAFENONE*30 cpr riv 300 mg	6,46	PENSA PHARMA SpA	33737026	ABB	X		
Propafenone	PROPAFENONE 300MG 30 UNITA' USO ORALE	RYTMONORM*30 cpr riv 300 mg	10,16	TEVA ITALIA Srl	24862029	ABB	X		
Propafenone	PROPAFENONE 325MG 28 UNITA' USO ORALE RP	RYTMONORM*28 cps 325 mg rilascio prolungato	8,59	TEVA ITALIA Srl	24862094	ABC			
Propafenone	PROPAFENONE 425MG 28 UNITA' USO ORALE RP	RYTMONORM*28 cps 425 mg rilascio prolungato	13,22	TEVA ITALIA Srl	24862106	ABD			
Propafenone	PROPAFENONE 70MG 5 UNITA' USO PARENTERALE	RYTMONORM*5 fiale EV 70 mg 20 ml	12,83	TEVA ITALIA Srl	24862031	ABE			
Propranololo	PROPRANOLOLO 40MG 30 UNITA' USO ORALE	INDERAL*30 cpr 40 mg	1,86	ASTRAZENECA SpA	20854028	QZA			
Propranololo	PROPRANOLOLO 120ML 3,75MG/ML 1 UNITA' USO ORALE	HEMANGIOL*orale soluz flacone 120 ml 3,75 mg/ml + siringa	297,90	PIERRE FABRE DERMATOLOGIE	43368012	QZC			
Protamina	PROTAMINA 1% 50MG 5ML 1 UNITA' USO PARENTERALE	PROTAMINA*1 fiala EV 50 mg 5 ml	4,38	MEDA PHARMA SpA	4698027	ACA	X		
Proteina del plasma umano antiangioedema	PROTEINA DEL PLASMA UMANO ANTIANGIOEDEMA 1.500U 1 UNITA' USO PARENTERALE	BERINERT*1 flaconcino polv EV 1.500 UI + 1 flaconcino solv 3 ml + set	2.772,67	CSL BEHRING GmbH	39056027	JJX			
Proteina del plasma umano antiangioedema	PROTEINA DEL PLASMA UMANO ANTIANGIOEDEMA 500U 1 UNITA' USO PARENTERALE	BERINERT*1 flaconcino polv EV 500 UI + 1 flaconcino solv 10 ml + set	924,22	CSL BEHRING GmbH	39056015	R0A			
Proteina del plasma umano antiangioedema	PROTEINA DEL PLASMA UMANO ANTIANGIOEDEMA 500U 2 UNITA' USO PARENTERALE	CINRYZE*2 flaconcini EV 500 U + 2 flaconcini solv 10 ml	1.980,48	SHIRE SERVICES BVBA	42017018	R0B			
Prulifloxacina	PRULIFLOXACINA 600MG 5 UNITA' USO ORALE	CHINOPLUS*5 cpr riv 600 mg	20,57	SPA (SOC.PRO.ANTIBIOTICI) SpA	35679036	R1A			
Prulifloxacina	PRULIFLOXACINA 600MG 5 UNITA' USO ORALE	KERAFLOX*5 cpr riv 600 mg	20,57	EG SpA	35680038	R1A			
Prulifloxacina	PRULIFLOXACINA 600MG 5 UNITA' USO ORALE	UNIDROX*5 cpr riv 600 mg	20,57	ANGELINI SpA	35678022	R1A			
Prulifloxacina	PRULIFLOXACINA 600MG 1 UNITA' USO ORALE	UNIDROX*1 cpr riv 600 mg	8,66	ANGELINI SpA	35678034	R1B			
Quetiapina	QUETIAPINA 25MG 6 UNITA' USO ORALE	QUETIAPINA*6 cpr riv 25 mg	1,84	AUROBINDO PHARMA ITALIA Srl	39186097	FVA	X		
Quetiapina	QUETIAPINA 25MG 6 UNITA' USO ORALE	QUETIAPINA*6 cpr riv 25 mg	1,84	DOC GENERICI Srl	40682015	FVA	X		
Quetiapina	QUETIAPINA 25MG 6 UNITA' USO ORALE	QUETIAPINA*6 cpr riv 25 mg	1,84	EG SpA	40388011	FVA	X		
Quetiapina	QUETIAPINA 25MG 6 UNITA' USO ORALE	QUETIAPINA*6 cpr riv 25 mg	1,84	SANDOZ SpA	40402012	FVA	X		
Quetiapina	QUETIAPINA 25MG 6 UNITA' USO ORALE	QUETIAPINA*6 cpr riv 25 mg	1,84	TEVA ITALIA Srl	40510125	FVA	X		
Quetiapina	QUETIAPINA 25MG 6 UNITA' USO ORALE	SEROQUEL*6 cpr riv 25 mg	3,67	ASTRAZENECA SpA	32944011	FVA	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	QUENTIAX*30 cpr riv 25 mg	9,27	KRKA D.D.NOVO MESTO	41195049	FVB	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	QUETAMED*30 cpr riv 25 mg	9,27	FAIRMED HEALTHCARE GMBH	42175024	FVB	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	QUETIAPINA*30 cpr riv 25 mg	9,27	ACCORD HEALTHCARE SLU	41503071	FVB	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	QUETIAPINA*30 cpr riv 25 mg	9,27	AUROBINDO PHARMA ITALIA Srl	39186123	FVB	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	QUETIAPINA*30 cpr riv 25 mg	9,27	DOC GENERICI Srl	40682027	FVB	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	QUETIAPINA*30 cpr riv 25 mg	9,27	EG SpA	40388047	FVB	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	QUETIAPINA*30 cpr riv 25 mg	9,27	LABORATORI ALTER Srl	39744026	FVB	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	QUETIAPINA*30 cpr riv 25 mg	9,27	MYLAN SpA	41024023	FVB	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	QUETIAPINA*30 cpr riv 25 mg	9,27	SANDOZ SpA	40402051	FVB	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	QUETIAPINA*30 cpr riv 25 mg	9,27	TEVA ITALIA Srl	40510152	FVB	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	QUETIAPINA*30 cpr riv 25 mg	9,27	ZENTIVA ITALIA Srl	41279136	FVB	X		
Quetiapina	QUETIAPINA 25MG 30 UNITA' USO ORALE	SEROQUEL*30 cpr riv 25 mg	12,27	ASTRAZENECA SpA	32944112	FVB	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	QUENTIAX*60 cpr riv 100 mg	40,00	KRKA D.D.NOVO MESTO	41195165	FVC	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	QUETAMED*60 cpr riv 100 mg	40,00	FAIRMED HEALTHCARE GMBH	42175036	FVC	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 100 mg	40,00	ACCORD HEALTHCARE SLU	41503246	FVC	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 100 mg	40,00	AUROBINDO PHARMA ITALIA Srl	39186325	FVC	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 100 mg	40,00	DOC GENERICI Srl	40682080	FVC	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 100 mg	40,00	EG SpA	40388136	FVC	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 100 mg	40,00	LABORATORI ALTER Srl	39744077	FVC	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 100 mg	40,00	MYLAN SpA	41024035	FVC	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 100 mg	40,00	SANDOZ GMBH	40968063	FVC	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 100 mg	40,00	TEVA ITALIA Srl	40510265	FVC	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 100 mg	40,00	ZENTIVA ITALIA Srl	41279151	FVC	X		
Quetiapina	QUETIAPINA 100MG 60 UNITA' USO ORALE	SEROQUEL*60 cpr riv 100 mg	51,20	ASTRAZENECA SpA	32944035	FVC	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE	QUENTIAX*60 cpr riv 200 mg	50,00	KRKA D.D.NOVO MESTO	41195381	FVD	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 200 mg	50,00	ACCORD HEALTHCARE SLU	41503386	FVD	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 200 mg	50,00	AUROBINDO PHARMA ITALIA Srl	39186681	FVD	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 200 mg	50,00	DOC GENERICI Srl	40682092	FVD	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 200 mg	50,00	EG SpA	40388252	FVD	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 200 mg	50,00	MYLAN SpA	41024047	FVD	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 200 mg	50,00	SANDOZ GMBH	40968190	FVD	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 200 mg	50,00	TEVA ITALIA Srl	40510683	FVD	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 200 mg	50,00	ZENTIVA ITALIA Srl	41279276	FVD	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE	SEROQUEL*60 cpr riv 200 mg	75,28	ASTRAZENECA SpA	32944050	FVD	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE	QUENTIAX*60 cpr riv 300 mg	60,00	KRKA D.D.NOVO MESTO	41195482	FVE	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 300 mg	60,00	ACCORD HEALTHCARE SLU	41503525	FVE	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 300 mg	60,00	DOC GENERICI Srl	40682142	FVE	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 300 mg	60,00	EG SpA	40388338	FVE	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 300 mg	60,00	MYLAN SpA	41024050	FVE	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 300 mg	60,00	SANDOZ GMBH	40968327	FVE	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 300 mg	60,00	TEVA ITALIA Srl	40510986	FVE	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE	QUETIAPINA*60 cpr riv 300 mg	60,00	ZENTIVA ITALIA Srl	41279377	FVE	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE	SEROQUEL*60 cpr riv 300 mg	86,57	ASTRAZENECA SpA	32944100	FVE	X		
Quetiapina	QUETIAPINA 50MG 60 UNITA' USO ORALE RP	QUENTIAX*60 cpr 50 mg rilascio prolungato	31,49	KRKA D.D.NOVO MESTO	41195761	FVF	X		
Quetiapina	QUETIAPINA 50MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 50 mg rilascio prolungato	31,49	ACCORD HEALTHCARE SLU	41966223	FVF	X		
Quetiapina	QUETIAPINA 50MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 50 mg rilascio prolungato	31,49	DOC GENERICI Srl	43695055	FVF	X		
Quetiapina	QUETIAPINA 50MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 50 mg rilascio prolungato	31,49	EG SpA	43696083	FVF	X		
Quetiapina	QUETIAPINA 50MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 50 mg rilascio prolungato	31,49	MYLAN SpA	43057037	FVF	X		
Quetiapina	QUETIAPINA 50MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 50 mg rilascio prolungato	31,49	SANDOZ B.V.	43697059	FVF	X		
Quetiapina	QUETIAPINA 50MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 50 mg rilascio prolungato	31,49	TEVA ITALIA Srl	40433068	FVF	X		
Quetiapina	QUETIAPINA 50MG 60 UNITA' USO ORALE RP	SEROQUEL*60 cpr 50 mg rilascio prolungato	73,25	ASTRAZENECA SpA	32944124	FVF	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE RP	QUENTIAX*60 cpr riv 200 mg rilascio prolungato	63,76	KRKA D.D.NOVO MESTO	41195645	FVG	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 200 mg rilascio prolungato	63,76	ACCORD HEALTHCARE SLU	41966045	FVG	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 200 mg rilascio prolungato	63,76	DOC GENERICI Srl	43695170	FVG	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 200 mg rilascio prolungato	63,76	EG SpA	43696259	FVG	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 200 mg rilascio prolungato	63,76	MYLAN SpA	43057088	FVG	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 200 mg rilascio prolungato	63,76	SANDOZ B.V.	43697174	FVG	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 200 mg rilascio prolungato	63,76	TEVA ITALIA Srl	40433144	FVG	X		
Quetiapina	QUETIAPINA 200MG 60 UNITA' USO ORALE RP	SEROQUEL*60 cpr 200 mg rilascio prolungato	148,29	ASTRAZENECA SpA	32944136	FVG	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE RP	QUENTIAX*60 cpr riv 300 mg rilascio prolungato	71,88	KRKA D.D.NOVO MESTO	41195708	FVH	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 300 mg rilascio prolungato	71,88	ACCORD HEALTHCARE SLU	41966096	FVH	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 300 mg rilascio prolungato	71,88	DOC GENERICI Srl	43695232	FVH	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 300 mg rilascio prolungato	71,88	EG SpA	43696347	FVH	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 300 mg rilascio prolungato	71,88	MYLAN SpA	43057126	FVH	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 300 mg rilascio prolungato	71,88	SANDOZ B.V.	43697236	FVH	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 300 mg rilascio prolungato	71,88	TEVA ITALIA Srl	40433221	FVH	X		
Quetiapina	QUETIAPINA 300MG 60 UNITA' USO ORALE RP	SEROQUEL*60 cpr 300 mg rilascio prolungato	167,14	ASTRAZENECA SpA	32944148	FVH	X		
Quetiapina	QUETIAPINA 400MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 400 mg rilascio prolungato	95,64	ACCORD HEALTHCARE SLU	41966146	FVI	X		
Quetiapina	QUETIAPINA 400MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 400 mg rilascio prolungato	95,64	DOC GENERICI Srl	43695295	FVI	X		
Quetiapina	QUETIAPINA 400MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 400 mg rilascio prolungato	95,64	EG SpA	43696436	FVI	X		
Quetiapina	QUETIAPINA 400MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 400 mg rilascio prolungato	95,64	MYLAN SpA	43057153	FVI	X		
Quetiapina	QUETIAPINA 400MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 400 mg rilascio prolungato	95,64	SANDOZ B.V.	43697299	FVI	X		
Quetiapina	QUETIAPINA 400MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 400 mg rilascio prolungato	95,64	TEVA ITALIA Srl	40433308	FVI	X		
Quetiapina	QUETIAPINA 400MG 60 UNITA' USO ORALE RP	SEROQUEL*60 cpr 400 mg rilascio prolungato	222,41	ASTRAZENECA SpA	32944151	FVI	X		
Quetiapina	QUETIAPINA 150MG 60 UNITA' USO ORALE RP	QUENTIAX*60 cpr riv 150 mg rilascio prolungato	47,83	KRKA D.D.NOVO MESTO	41195583	FVJ	X		
Quetiapina	QUETIAPINA 150MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 150 mg rilascio prolungatO	47,83	ACCORD HEALTHCARE SLU	41966375	FVJ	X		
Quetiapina	QUETIAPINA 150MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 150 mg rilascio prolungato	47,83	DOC GENERICI Srl	43695117	FVJ	X		
Quetiapina	QUETIAPINA 150MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 150 mg rilascio prolungato	47,83	EG SpA	43696160	FVJ	X		
Quetiapina	QUETIAPINA 150MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 150 mg rilascio prolungato	47,83	MYLAN SpA	43057052	FVJ	X		
Quetiapina	QUETIAPINA 150MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 150 mg rilascio prolungatO	47,83	SANDOZ B.V.	43697111	FVJ	X		
Quetiapina	QUETIAPINA 150MG 60 UNITA' USO ORALE RP	QUETIAPINA*60 cpr 150 mg rilascio prolungatO	47,83	TEVA ITALIA Srl	40433474	FVJ	X		
Quetiapina	QUETIAPINA 150MG 60 UNITA' USO ORALE RP	SEROQUEL*60 cpr 150 mg rilascio prolungato	111,22	ASTRAZENECA SpA	32944163	FVJ	X		
Quinapril	QUINAPRIL 5MG 28 UNITA' USO ORALE	QUINAZIL*28 cpr riv div 5 mg	3,34	MALESCI SpA IST.FARMACOBIOL.	27225010	DDA	X		
Quinapril	QUINAPRIL 5MG 28 UNITA' USO ORALE	ACCUPRIN*28 cpr riv 5 mg	4,37	PFIZER ITALIA Srl	27217013	DDA	X		
Quinapril	QUINAPRIL 5MG 28 UNITA' USO ORALE	ACEQUIN*28 cpr riv 5 mg	4,75	RECORDATI SpA	27230010	DDA	X		
Quinapril	QUINAPRIL 20MG 14 UNITA' USO ORALE	QUINAPRIL*14 cpr riv 20 mg	2,21	EG SpA	37203229	DDB	X		
QUINAPRIL	QUINAPRIL 20MG 14 UNITA' USO ORALE	QUINAPRIL*14 cpr riv 20 mg	2,21	ZENTIVA ITALIA Srl	37301227	DDB	X		
Quinapril	QUINAPRIL 20MG 14 UNITA' USO ORALE	QUINAZIL*14 cpr riv div 20 mg	3,21	MALESCI SpA IST.FARMACOBIOL.	27225034	DDB	X		
Quinapril	QUINAPRIL 20MG 14 UNITA' USO ORALE	ACCUPRIN*14 cpr riv 20 mg	4,19	PFIZER ITALIA Srl	27217037	DDB	X		
Quinapril	QUINAPRIL 20MG 14 UNITA' USO ORALE	ACEQUIN*14 cpr riv 20 mg	5,08	RECORDATI SpA	27230034	DDB	X		
Quinapril/idroclorotiazide	QUINAPRIL+IDROCLOROTIAZIDE 20+12,5MG 14 UNITA' USO ORALE	ACEQUIDE*14 cpr riv div 20 mg + 12,5 mg	2,22	RECORDATI SpA	28317016	DEA	X		
Quinapril/idroclorotiazide	QUINAPRIL+IDROCLOROTIAZIDE 20+12,5MG 14 UNITA' USO ORALE	QUINAPRIL E IDROCLOROTIAZIDE*14 cpr riv 20 mg + 12,5 mg	2,22	MYLAN SpA	38910042	DEA	X		
Quinapril/idroclorotiazide	QUINAPRIL+IDROCLOROTIAZIDE 20+12,5MG 14 UNITA' USO ORALE	QUINAPRIL IDROCLOROTIAZIDE*14 cpr riv 20 mg + 12,5 mg	2,22	AUROBINDO PHARMA ITALIA Srl	40177204	DEA	X		
Quinapril/idroclorotiazide	QUINAPRIL+IDROCLOROTIAZIDE 20+12,5MG 14 UNITA' USO ORALE	QUINAPRIL IDROCLOROTIAZIDE*14 cpr riv 20 mg + 12,5 mg	2,22	EG SpA	37228069	DEA	X		
Quinapril/idroclorotiazide	QUINAPRIL+IDROCLOROTIAZIDE 20+12,5MG 14 UNITA' USO ORALE	QUINAPRIL IDROCLOROTIAZIDE*14 cpr riv 20 mg + 12,5 mg	2,22	ZENTIVA ITALIA Srl	37369143	DEA	X		
Quinapril/idroclorotiazide	QUINAPRIL+IDROCLOROTIAZIDE 20+12,5MG 14 UNITA' USO ORALE	QUINAZIDE*14 cpr riv 20 mg + 12,5 mg	4,72	MALESCI SpA IST.FARMACOBIOL.	28331015	DEA	X		
Quinapril/idroclorotiazide	QUINAPRIL+IDROCLOROTIAZIDE 20+12,5MG 14 UNITA' USO ORALE	ACCURETIC*14 cpr riv 20 mg + 12,5 mg	4,87	PFIZER ITALIA Srl	28295018	DEA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	RABEPRAZOLO SOS*14 cpr riv gastrores 10 mg	3,21	SO.SE.PHARM Srl	41984016	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 10 mg	3,21	DOC GENERICI Srl	40681013	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 10 mg	3,21	EG SpA	41543012	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 10 mg	3,21	KRKA D.D.NOVO MESTO	41591037	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 10 mg	3,21	LABORATORI ALTER Srl	39995028	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 10 mg	3,21	PENSA PHARMA SpA	41541018	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 10 mg	3,21	SANDOZ SpA	41110038	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 10 mg	3,21	SUN PHARMACEUTICAL IND.EU.B.V.	40938021	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 10 mg	3,21	TEVA ITALIA Srl	40828030	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 10 mg	3,21	ZENTIVA ITALIA Srl	41599034	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	RABEX*14 cpr gastrores 10 mg	3,21	S.F. GROUP Srl	41970017	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	STARAB*14 cpr gastrores 10 mg	3,21	S.F. GROUP Srl	43785017	CUA	X		
Rabeprazolo	RABEPRAZOLO 10MG 14 UNITA' USO ORALE	PARIET*14 cpr gastrores 10 mg	4,71	JANSSEN CILAG SpA	34216022	CUA	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO SOS*14 cpr riv gastrores 20 mg	5,89	SO.SE.PHARM Srl	41984028	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	ACCORD HEALTHCARE SLU	41882046	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	AUROBINDO PHARMA ITALIA Srl	41161023	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	DOC GENERICI Srl	40681025	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	EG SpA	41543024	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	KRKA D.D.NOVO MESTO	41591140	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	LABORATORI ALTER Srl	39995067	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	PENSA PHARMA SpA	41541020	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	SANDOZ SpA	41110127	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	SUN PHARMACEUTICAL IND.EU.B.V.	40938058	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	TECNIGEN Srl	42940027	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	TEVA ITALIA Srl	40828307	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEPRAZOLO*14 cpr gastrores 20 mg	5,89	ZENTIVA ITALIA Srl	41599150	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	RABEX*14 cpr gastrores 20 mg	5,89	S.F. GROUP Srl	41970029	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	STARAB*14 cpr gastrores 20 mg	5,89	S.F. GROUP Srl	43785029	CUB	X		
Rabeprazolo	RABEPRAZOLO 20MG 14 UNITA' USO ORALE	PARIET*14 cpr gastrores 20 mg	7,79	JANSSEN CILAG SpA	34216186	CUB	X		
Rabeprazolo	RABEPRAZOLO 10MG 28 UNITA' USO ORALE	RABEPRAZOLO SOS*28 cpr riv gastrores 10 mg	4,81	SO.SE.PHARM Srl	41984030	KOX	X		
